year,race_name,constructor_name,total_stops,mean_pit_stop,delta_pit_stop,race_points,season_points,championship_standing,target_top5
2011,Canadian Grand Prix,Red Bull,6,24.012,-1.754,33.0,255.0,1.0,1
2011,Canadian Grand Prix,McLaren,6,23.511,-2.255,25.0,186.0,2.0,1
2011,Canadian Grand Prix,Ferrari,7,24.986,-0.78,8.0,101.0,3.0,1
2011,Canadian Grand Prix,Renault,4,23.61,-2.156,10.0,60.0,4.0,1
2011,Canadian Grand Prix,Mercedes,8,23.237,-2.529,12.0,52.0,5.0,1
2011,Canadian Grand Prix,Sauber,4,25.658,-0.108,6.0,27.0,6.0,0
2011,Canadian Grand Prix,Toro Rosso,7,24.768,-0.998,5.0,12.0,7.0,0
2011,Canadian Grand Prix,Force India,8,22.846,-2.92,0.0,10.0,8.0,0
2011,Canadian Grand Prix,Williams,9,24.847,-0.919,2.0,4.0,9.0,0
2011,Canadian Grand Prix,Lotus,4,36.048,10.282,0.0,0.0,10.0,0
2011,Canadian Grand Prix,HRT,5,30.806,5.04,0.0,0.0,11.0,0
2011,Canadian Grand Prix,Virgin,7,24.864,-0.902,0.0,0.0,12.0,0
2011,European Grand Prix,Red Bull,6,20.488,-1.322,40.0,295.0,1.0,1
2011,European Grand Prix,McLaren,6,20.565,-1.245,20.0,206.0,2.0,1
2011,European Grand Prix,Ferrari,6,21.47,-0.34,28.0,129.0,3.0,1
2011,European Grand Prix,Renault,6,21.708,-0.102,1.0,61.0,4.0,1
2011,European Grand Prix,Mercedes,6,23.088,1.278,6.0,58.0,5.0,1
2011,European Grand Prix,Sauber,3,21.992,0.182,0.0,27.0,6.0,0
2011,European Grand Prix,Toro Rosso,5,21.054,-0.756,4.0,16.0,7.0,0
2011,European Grand Prix,Force India,6,20.742,-1.068,2.0,12.0,8.0,0
2011,European Grand Prix,Williams,6,21.384,-0.426,0.0,4.0,9.0,0
2011,European Grand Prix,Lotus,5,22.491,0.681,0.0,0.0,10.0,0
2011,European Grand Prix,HRT,6,24.704,2.894,0.0,0.0,11.0,0
2011,European Grand Prix,Virgin,4,22.031,0.221,0.0,0.0,12.0,0
2011,British Grand Prix,Red Bull,6,25.46,-0.498,33.0,328.0,1.0,1
2011,British Grand Prix,McLaren,6,24.192,-1.766,12.0,218.0,2.0,1
2011,British Grand Prix,Ferrari,6,24.223,-1.735,35.0,164.0,3.0,1
2011,British Grand Prix,Mercedes,5,27.153,1.195,10.0,68.0,4.0,1
2011,British Grand Prix,Renault,4,24.55,-1.408,4.0,65.0,5.0,1
2011,British Grand Prix,Sauber,4,27.751,1.793,6.0,33.0,6.0,0
2011,British Grand Prix,Toro Rosso,4,24.928,-1.03,1.0,17.0,7.0,0
2011,British Grand Prix,Force India,6,30.071,4.113,0.0,12.0,8.0,0
2011,British Grand Prix,Williams,5,24.839,-1.119,0.0,4.0,9.0,0
2011,British Grand Prix,HRT,4,26.24,0.282,0.0,0.0,11.0,0
2011,British Grand Prix,Virgin,4,26.136,0.178,0.0,0.0,12.0,0
2011,German Grand Prix,Red Bull,6,20.474,-1.246,27.0,355.0,1.0,1
2011,German Grand Prix,McLaren,4,20.708,-1.012,25.0,243.0,2.0,1
2011,German Grand Prix,Ferrari,6,20.479,-1.241,28.0,192.0,3.0,1
2011,German Grand Prix,Mercedes,6,20.394,-1.326,10.0,78.0,4.0,1
2011,German Grand Prix,Renault,2,21.01,-0.71,1.0,66.0,5.0,1
2011,German Grand Prix,Sauber,4,22.76,1.04,2.0,35.0,6.0,0
2011,German Grand Prix,Force India,4,21.982,0.262,8.0,20.0,7.0,0
2011,German Grand Prix,Toro Rosso,4,22.752,1.032,0.0,17.0,8.0,0
2011,German Grand Prix,Williams,2,21.329,-0.391,0.0,4.0,9.0,0
2011,German Grand Prix,Lotus,5,23.986,2.266,0.0,0.0,10.0,0
2011,German Grand Prix,HRT,3,22.807,1.087,0.0,0.0,11.0,0
2011,German Grand Prix,Virgin,4,21.964,0.244,0.0,0.0,12.0,0
2011,Hungarian Grand Prix,Red Bull,8,20.541,-1.552,28.0,383.0,1.0,1
2011,Hungarian Grand Prix,McLaren,9,20.233,-1.86,37.0,280.0,2.0,1
2011,Hungarian Grand Prix,Ferrari,8,21.65,-0.443,23.0,215.0,3.0,1
2011,Hungarian Grand Prix,Mercedes,6,21.089,-1.004,2.0,80.0,4.0,1
2011,Hungarian Grand Prix,Renault,6,23.249,1.156,0.0,66.0,5.0,1
